W,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC. REQUIRE,,,,,,,,,,,
"MASTER
ITEM#",,MEAT,SEAFOOD,PRODUCE,GROCERY,BAKERY,HOT DELI,WAREHOUSE,GENERAL MARKET,SUBTENANTS,"MEAT
ITEM #","SEAFOOD
ITEM #","PRODUCE
ITEM #","GROCERY
ITEM #","BAKERY
ITEM #","HOT DELI
ITEM #","WAREHOUSE
ITEM #","GENERAL MARKET
ITEM #","SUBTENANTS
ITEM #",EQUIPMENT DESCRIPTION,SPEC. LINK,MANUFACTURER,MODEL,SUPPLY BY,INSTALL BY,ELECTRICAL,,,DATA/PHONE,PLUMBING - WATER,,,PLUMBING - GAS,,,FLOOR SINK,REMARKS
,,,,,,,,,,,,,,,,,,,,,,,,,,POWER,HEIGHT,NEMA,,COLD,HOT,ELEVATION,PIPE SIZE,BTU,ELEVATION,,
39,,,,,,,x,,,,,,,,,HD#04,,,,HOT DELI SS FRONT SERVICE/ CASHIER COUNTER,,CUSTOM,CUSTOM,OWNER,OWNER,SEE CUT SHEET & DWGS,,,,,,,,,,,
40,,,,,,,x,,,,,,,,,HD#05,,,,HOT DELI SS BACK COUNTER,,CUSTOM,CUSTOM,OWNER,OWNER,SEE CUT SHEET & DWGS,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,MISC. BAKERY DISPLAY,,MARCO,,OWNER,OWNER,,,,,,,,,,,,
42,,,,,,x,,,,,,,,,BK#08,,,,,TRAY AND TONG STATION,,CUSTOM,CUSTOM,OWNER,G.C.,,,,,,,,,,,,
43,,,,,,x,,,,,,,,,BK#09,,,,,1-DOOR REACH IN REFRIGERATOR,,TRAULSEN,G SERIES,OWNER,G.C.,115/60/1,3 WIRE FEED W/ GROUND - 80” OC,3 WIRE FEED W/ GROUND - 5-15P,,,,,,,,,
44,,,,,,x,,,,,,,,,BK#10,,,,,1-DOOR REACH IN FREEZER,,TRAULSEN,G SERIES,OWNER,G.C.,115/60/1,4 WIRE FEED W/ GROUND - 80” OC,4 WIRE FEED W/ GROUND - 5-15P,,,,,,,,,
45,,,,x,,,,,,,,,PD#03,,,,,,,REFRIG. PRODUCE WALL CS - LOW FRONT,,HILL PHOENIX,O5DM,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
46,,,,x,,,,,,,,,PD#04,,,,,,,REFRIG. PRODUCE ISLAND CS,,HILL PHOENIX,OIP-OIPB,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
47,A,,,,,,,,,,TBD,,,,,,,,,REFRIG. DELI / DAIRY CS  WITH DOOR,,NOVUM,"PANAMA GREEN
2 DOOR",OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,,
47,B,,,,,,,,,,TBD,,,,,,,,,REFRIG. DELI / DAIRY CS  WITH DOOR,,NOVUM,"PANAMA GREEN
3 DOOR",OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,,
48,A,,,,x,,,,,,,,,GR#05,,,,,,REFRIG. DELI/ DAIRY CS - OPEN,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
48,B,,,,,,,,,,,,,,,,,,,REFRIG. DELI/ DAIRY CS – OPEN - NARROW,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
